infrastructure_id,infrastructure_name,infra_category,address,ward_id,head_name,designation,contact_number,dob,Status,email_id,capacity
INF001,Hanuman Tilak Nagar Mandir (1),Temples,"104, Patel Chowk Road, Sector 14, Tilak Nagar",W14,Aditya Reddy,Temple Head,7009306324,27-01-1995,Proposed,aditya.reddy.inf001@municipal.gov.in,201
INF002,Mahadev Ashok Nagar Mandir (1),Temples,"127, Patel Chowk Road, Sector 5, Ashok Nagar",W13,Alok Bansal,Temple Head,7692910262,09-08-1970,Closed,alok.bansal.inf002@municipal.gov.in,202
INF003,Hanuman Model Town Mandir (1),Temples,"45, Industrial Area Road, Sector 12, Model Town",W05,Alok Reddy,Temple Head,6603242197,02-04-1973,Active,alok.reddy.inf003@municipal.gov.in,203
INF004,Hanuman Subhash Nagar Mandir (1),Temples,"196, Market Road, Sector 11, Subhash Nagar",W16,Aryan Patil,Temple Head,7748415066,15-10-1994,Active,aryan.patil.inf004@municipal.gov.in,204
INF005,Shri Seemapuri Mandir (1),Temples,"141, Patel Chowk Road, Sector 6, Seemapuri",W10,Rahul Nair,Temple Head,9769594352,05-05-1993,Proposed,rahul.nair.inf005@municipal.gov.in,205
INF006,Durga Ashok Nagar Mandir (1),Temples,"245, Gandhi Marg, Sector 8, Ashok Nagar",W23,Meera Saxena,Temple Head,6470941580,03-07-1984,Active,meera.saxena.inf006@municipal.gov.in,206
INF007,Durga Anand Vihar Mandir (1),Temples,"47, Station Road, Sector 17, Anand Vihar",W21,Sai Khan,Temple Head,7068381161,02-03-1989,Active,sai.khan.inf007@municipal.gov.in,207
INF008,Shri Shastri Nagar Mandir (1),Temples,"4, MG Road, Sector 8, Shastri Nagar",W08,Krishna Chatterjee,Temple Head,8098714444,18-11-1968,Active,krishna.chatterjee.inf008@municipal.gov.in,208
INF009,Hanuman Rajendra Nagar Mandir (1),Temples,"24, School Lane, Sector 9, Rajendra Nagar",W22,Alok Reddy,Temple Head,6798735802,11-06-1990,Active,alok.reddy.inf009@municipal.gov.in,209
INF010,Mahadev Model Town Mandir (1),Temples,"72, Park Street, Sector 6, Model Town",W12,Sneha Kapoor,Temple Head,6005766030,03-03-1984,Proposed,sneha.kapoor.inf010@municipal.gov.in,210
INF011,Shri Indira Chowk Mandir (1),Temples,"154, School Lane, Sector 10, Indira Chowk",W10,Ishaan Desai,Temple Head,7057635924,11-05-1985,Proposed,ishaan.desai.inf011@municipal.gov.in,211
INF012,Durga Indira Chowk Mandir (1),Temples,"10, Rajiv Nagar Road, Sector 16, Indira Chowk",W09,Vijay Yadav,Temple Head,6842197442,22-03-1968,Closed,vijay.yadav.inf012@municipal.gov.in,212
INF013,Radha Krishna Tilak Nagar Mandir (1),Temples,"114, Park Street, Sector 2, Tilak Nagar",W13,Manish Nair,Temple Head,8275360252,09-01-1995,Active,manish.nair.inf013@municipal.gov.in,213
INF014,Radha Krishna Sadar Bazaar Mandir (1),Temples,"234, Gandhi Marg, Sector 17, Sadar Bazaar",W01,Sneha Das,Temple Head,6097805482,10-03-1971,Active,sneha.das.inf014@municipal.gov.in,214
INF015,Mahadev Model Town Mandir (2),Temples,"116, Nehru Marg, Sector 12, Model Town",W15,Ramesh Bose,Temple Head,7516824839,27-12-1993,Active,ramesh.bose.inf015@municipal.gov.in,215
INF016,Hanuman Seemapuri Mandir (1),Temples,"214, Park Street, Sector 10, Seemapuri",W01,Neha Gupta,Temple Head,9610100710,10-10-1975,Active,neha.gupta.inf016@municipal.gov.in,216
INF017,Durga Shastri Nagar Mandir (1),Temples,"222, Bus Stand Road, Sector 2, Shastri Nagar",W01,Ritu Singh,Temple Head,7286479839,29-02-1984,Active,ritu.singh.inf017@municipal.gov.in,217
INF018,Radha Krishna Rajendra Nagar Mandir (1),Temples,"212, Industrial Area Road, Sector 4, Rajendra Nagar",W13,Shreya Chatterjee,Temple Head,7367811897,27-10-1994,Active,shreya.chatterjee.inf018@municipal.gov.in,218
INF019,Durga Malviya Nagar Mandir (1),Temples,"61, Nehru Marg, Sector 14, Malviya Nagar",W15,Kavya Reddy,Temple Head,6184951784,23-01-1968,Proposed,kavya.reddy.inf019@municipal.gov.in,219
INF020,Durga Shastri Nagar Mandir (2),Temples,"14, Industrial Area Road, Sector 2, Shastri Nagar",W03,Meera Gupta,Temple Head,6330508138,26-12-1970,Active,meera.gupta.inf020@municipal.gov.in,220
INF021,Durga Rajendra Nagar Mandir (1),Temples,"79, Ring Road, Sector 10, Rajendra Nagar",W02,Anjali Verma,Temple Head,9633315591,20-09-1979,Active,anjali.verma.inf021@municipal.gov.in,221
